ID	accession	accession_name	species	bio_status	row_type	LON	LAT	AEZ_type	AEZ31
B_215	235116-B	219584-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.483333	9.6	SM	SM4
B_218	235541-A	219612-B	Hordeum vulgare L. vulgare	landrace	Irregular	39.433333	9.766667	SM	SM3
B_219	235544-A	219616-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.3	9.966667	SM	SM3
B_22	237329	17658	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.483611	10.075278	SH	SH3
B_220	235546-A	220743-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.883333	8.833333	M	M3
B_221	235551-B	220790-D	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.666667	9.783333	M	M4
B_222	235551-C	222969-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.233333	7.433333	H	H4
B_223	236823-A	222969-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.233333	7.433333	H	H4
B_224	237003-B	223168-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.366667	13.45	SM	SM3
B_225	237020-A	223168-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.366667	13.45	SM	SM3
B_226	237335-B	223174-A	Hordeum vulgare L. vulgare	landrace	Irregular	39.083333	14.25	SM	SM3
B_227	237346-A	223182-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.533333	12.95	SM	SM4
B_228	237346-B	223182-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.533333	12.95	SM	SM4
B_229	237361-A	223926-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.55	10.916667	M	M4
B_23	237339	17663	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.790833	9.922778	SH	SH3
B_230	238349-B	223926-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.55	10.916667	M	M4
B_231	239519-B	225980-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.733333	10.766667	SM	SM3
B_232	242070-C	225980-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.733333	10.766667	SM	SM3
B_233	242093-A	229993-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.216667	7.866667	H	H4
B_234	242098-A	230500-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	42.283333	9.4	SM	SM3
B_235	242098-B	230612-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	40.366667	7.016667	H	H3
B_236	242099-B	230616-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	40.483333	7	M	M3
B_237	242576-A	230619-B	Hordeum vulgare L. vulgare	landrace	Irregular	40.5	7.066667	M	M3
B_238	242580-A	230629-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	40.733333	7.266667	M	M3
B_239	243193-A	230631-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	40.716667	7.116667	H	H3
B_24	238348	17689	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.485833	8.9125	SH	SH3
B_240	243203-A	230631-C	Hordeum vulgare L. vulgare	landrace	Irregular	40.716667	7.116667	H	H3
B_241	243209-A	230654-B	Hordeum vulgare L. vulgare	landrace	Irregular	NA	NA	NA	NA
B_242	243247-A	230814-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.966667	9.016667	SM	SM3
B_243	243273-A	230814-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.966667	9.016667	SM	SM3
B_244	243307-A	230815-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	41.683333	9.133333	SH	SH3
B_245	243312-B	213523-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_246	243407-A	213523-B	Hordeum vulgare L. vulgare	landrace	Irregular	37.6	6.15	SH	SH3
B_247	243410-A	232365-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_248	243410-B	233040-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.233333	6.1	SH	SH3
B_249	243565-A	233040-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.233333	6.1	SH	SH3
B_25	238360	18327	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.949722	8.480556	SH	SH3
B_250	243567-A	234302-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.416667	14.283333	SM	SM3
B_251	A hore 880/61	234307-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.35	14.266667	SM	SM3
B_252	Ardu 12-60B	234308-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.053333	11.595	M	M3
B_253	Bahati	234312-B	Hordeum vulgare L. vulgare	landrace	Irregular	39.333333	14.2	SM	SM3
B_254	Balemi	235056-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.666667	11.15	M	M3
B_255	Bekoji-1	235056-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.666667	11.15	M	M3
B_256	Cross 41/98	235090-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.316667	11.4	M	M3
B_257	Derebie	235105-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.316667	10.2	SM	SM3
B_258	Dimtu	235116-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.416667	10.116667	SM	SM3
B_259	EH 1493	235265-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.533333	13.483333	SM	SM3
B_26	241788	18905	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.732222	6.7725	H	H4
B_260	EH 1847	235525-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.2	8.216667	M	M4
B_261	Explorer	235541-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.116667	8.15	SH	SH4
B_262	Fanaka	235544-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.2	8.1	SH	SH4
B_263	Gobe	235546-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.183333	8.083333	SH	SH4
