ID	type	row.type	AEZ_type	AEZ31	region	zone	LON	LAT	Cluster	Axis1	Axis2	Axis3	species	accession	accession_name	Founder	Family
B_207	landrace	Irregular	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hordeum vulgare L. vulgare	234302-A	219326-B	NA	NA
B_208	landrace	Six-rowed	SH	SH3	SNNP	SEMEN OMO	37.733333	6.916667	9	-0.28481247	-0.152845497	1.17841469	Hordeum vulgare L. vulgare	234307-A	219328-B	NA	NA
B_209	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.616667	9.633333	6	-0.550273869	0.313861848	-0.584909462	Hordeum vulgare L. vulgare	234308-A	219576-A	NA	NA
B_21	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.6875	9.040278	5	-0.517009395	-0.978994895	2.826497773	Hordeum vulgare L. vulgare	237324	17651	NA	NA
B_210	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.616667	9.633333	10	-0.638705763	-0.009890617	-0.967895132	Hordeum vulgare L. vulgare	234312-B	219576-D	NA	NA
B_212	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.416667	9.616667	6	-0.652990452	0.284390816	-0.843491783	Hordeum vulgare L. vulgare	235056-A	219578-B	NA	NA
B_215	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.483333	9.6	6	-0.563497698	0.39205368	-0.39880132	Hordeum vulgare L. vulgare	235116-B	219584-A	NA	NA
B_218	landrace	Irregular	SM	SM3	Oromia	SEMEN SHEWA	39.433333	9.766667	7	-0.627445581	0.570862334	-0.346776994	Hordeum vulgare L. vulgare	235541-A	219612-B	NA	NA
B_219	landrace	Six-rowed	SM	SM3	Oromia	SEMEN SHEWA	39.3	9.966667	6	-0.549369681	0.613554069	-0.338542365	Hordeum vulgare L. vulgare	235544-A	219616-A	NA	NA
B_22	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.483611	10.075278	5	-0.512438015	-0.942596536	2.551066219	Hordeum vulgare L. vulgare	237329	17658	NA	NA
B_220	landrace	Six-rowed	M	M3	Oromia	MIRAB SHEWA	37.883333	8.833333	6	-0.532629978	0.445513805	-0.954883739	Hordeum vulgare L. vulgare	235546-A	220743-A	NA	NA
B_221	landrace	Six-rowed	M	M4	Oromia	SEMEN SHEWA	38.666667	9.783333	6	-0.533649312	0.574054069	-0.853961533	Hordeum vulgare L. vulgare	235551-B	220790-D	NA	NA
