ID,Acc_name,status,Country,LON,LAT
BTNC_1314,Sheti makai,LR,Bhutan,89.93,26.75
BTNC_1315,Sheti makai,LR,Bhutan,90.02,27.07
BTNC_1316,Sanu sheti,LR,Bhutan,90.011,27.072
BTNC_1377,Sathia makai,LR,Bhutan,89.907,26.764
BTNC_1386,Paheli makai,LR,Bhutan,89.40444,27.0175
BTNC_1387,Paheli makai,LR,Bhutan,89.42,26.98
BTNC_1394,Sheto makai,LR,Bhutan,89.43,26.99
BTNC_1395,Pahelo makai,LR,Bhutan,89.394,26.933
BTNC_1399,Gayza kaap,LR,Bhutan,89.39694,27.03333
BTNC_1418,Gayza sechum,LR,Bhutan,89.38493,27.05284
BTNC_1419,Gayza kachum,LR,Bhutan,89.38493,27.05284
BTNC_1434,Rato makai,LR,Bhutan,90.23,26.96
BTNC_1477,Na,LR,Bhutan,89.849,27.543
BTNC_1496,Bamon ashom,LR,Bhutan,90.04,26.98
BTNC_1497,Sheti  makai,LR,Bhutan,89.75,26.74
BTNC_1539,Chepti makai,LR,Bhutan,89.16,27.04
BTNC_1540,Paheli makai,LR,Bhutan,89.16,27.04
BTNC_1550,Sheti makai,LR,Bhutan,89.053,26.904
BTNC_1551,Paheli makai,LR,Bhutan,89.99,26.95
BTNC_1559,Sathiya makai,LR,Bhutan,89.99,26.95
BTNC_1618,Sheti makai,LR,Bhutan,88.89,27.04
BTNC_1886,Pailo makai,LR,Bhutan,90.14,27
BTNC_1888,Pailo makai,LR,Bhutan,90.19,26.97
BTNC_1889,Kali makai,LR,Bhutan,90.176,26.949
BTNC_1890,Rato makai,LR,Bhutan,90.19,26.98
BTNC_1891,Sheto makai,LR,Bhutan,90.117,27.001
BTNC_1892,Karmo makai,LR,Bhutan,90.18,26.95
BTNC_1893,Pailo makai,LR,Bhutan,90.117,27.001
BTNC_1895,Sheto makai,LR,Bhutan,90.19,26.97
BTNC_1896,Sheto makai,LR,Bhutan,90.14,27
BTNC_1897,Sheto makai,LR,Bhutan,90.159,26.949
BTNC_1941,Sheto makai,LR,Bhutan,90.53,26.87
BTNC_1971,Satheya makai,LR,Bhutan,90.117,27.001
BTNC_1972,Kalo makai,LR,Bhutan,90.14,27
BTNC_96,Shingchu gung,LR,Bhutan,89.52,27.28
BTNC_2228,Pema lingpa,LR,Bhutan,91.232,27.681
BTNC_2366,Sheti makai,LR,Bhutan,91.1,26.85
BTNC_2384,Satheya makai,LR,Bhutan,90.14,27.02
BTNC_2565,Sheto makai,LR,Bhutan,89.945,26.956
BTNC_2567,Pailo,LR,Bhutan,89.948,26.926
BTNC_2568,Sheto,LR,Bhutan,89.948,26.926
BTNC_2569,Kalo,LR,Bhutan,89.948,26.926
SEMJONG1,Seti,LR,Bhutan,90.17,27.04
SEMJONG2,Sathria,LR,Bhutan,90.17,27.04
BTNC_7,Payalo makai,LR,Bhutan,90.109,26.949
BTNC_132,Sheti makai,LR,Bhutan,89.42,26.88
BTNC_146,Pahelo makai,LR,Bhutan,89.165,27.07
BTNC_8,Sheti makai,LR,Bhutan,90.168,27.037
BTNC_158,Sheti makai,LR,Bhutan,89.074,26.913
BTNC_164,Paheli chepti m,LR,Bhutan,89.57,26.86
BTNC_184,Sheti makai,LR,Bhutan,89.43,26.88
BTNC_189,Sheti makai,LR,Bhutan,90.09,26.95
BTNC_193,Sanu sheti mak,LR,Bhutan,90.18,27.08
BTNC_9,Sathiya makai,LR,Bhutan,90.139,27.042
BTNC_200,Paheli makai,LR,Bhutan,90.26,26.87
BTNC_201,Sheti makai,LR,Bhutan,88.89,27.01
BTNC_209,Kali makai,LR,Bhutan,90.19,27.04
BTNC_222,Sheto makai,LR,Bhutan,89.56,26.89
BTNC_10,Tshigsumpa,LR,Bhutan,91.317,27.04
BTNC_253,Sheti makai,LR,Bhutan,90.184,27.029
BTNC_11,Sathiya,LR,Bhutan,90.17,27.03
BTNC_267,Sheti makai,LR,Bhutan,91.574,27.328
BTNC_312,Sheti makai,LR,Bhutan,90.6,27.01
BTNC_368,Sheto makai,LR,Bhutan,90.19,27.04
BTNC_370,Paheli makai,LR,Bhutan,90.6,27.01
BTNC_459,Sheti makai,LR,Bhutan,90.16,27.03
BTNC_462,Payali makai,LR,Bhutan,90.175,27.073
BTNC_527,Ashom,LR,Bhutan,91.5,26.92
BTNC_526,Sinpo ashom,LR,Bhutan,91.58,27.48
BTNC_528,Paheli makai,LR,Bhutan,91.7,26.85
BTNC_533,Ashom,LR,Bhutan,91.51,26.85
BTNC_535,Ashom,LR,Bhutan,91.4,27.11
BTNC_537,Ashom,LR,Bhutan,91.44,26.85
BTNC_544,Ber shaam,LR,Bhutan,92.1,26.88
BTNC_546,Baipa ashom,LR,Bhutan,91.46,27.65
BTNC_547,Teksumpa,LR,Bhutan,91.2,27.62
BTNC_549,Baipa ashom,LR,Bhutan,91.534,27.45
BTNC_552,Ashom,LR,Bhutan,91.58,27.42
BTNC_557,Ashom,LR,Bhutan,91.508,26.855
BTNC_559,Pahelo makai,LR,Bhutan,90.238,26.931
BTNC_560,Ashom balingbi,LR,Bhutan,91.56,26.93
BTNC_564,Mangdipa ashom,LR,Bhutan,91.508,27.602
BTNC_566,Pahelo makai,LR,Bhutan,90.34,26.88
BTNC_567,Domba sertila,LR,Bhutan,90.54,26.9
BTNC_576,Ashom barma,LR,Bhutan,91.41,27
BTNC_579,Paheli makai,LR,Bhutan,90.31,26.86
BTNC_580,Pahelo makai,LR,Bhutan,90.28,26.94
BTNC_581,Ashom,LR,Bhutan,90.31,26.86
BTNC_584,Ningpa,LR,Bhutan,91.14,27.3
BTNC_686,Domba sertila,LR,Bhutan,90.54,26.9
BTNC_687,Phokpa ashom,LR,Bhutan,91.56,26.93
BTNC_718,Kokti ashom,LR,Bhutan,91.706,27.367
BTNC_834,Ma chana,LR,Bhutan,91.203,27.606
BTNC_942,Sanu paheli,LR,Bhutan,88.812,27.136
BTNC_1056,Gayza shechum,LR,Bhutan,89.96,27.301
BTNC_1227,Bumtab,LR,Bhutan,89.5325,27.14083
BTNC_1308,Pema lingpa ash,LR,Bhutan,90.02,26.98
