ID,Biological_Status,Genetic_cluster,LAT,LON
Vu161,Landrace,3,-30.559482,22.937506
Vu164,Landrace,3,-30.559482,22.937506
Vu165,Landrace,3,-30.559482,22.937506
Vu166,Landrace,3,-30.559482,22.937506
Vu167,Landrace,3,-30.559482,22.937506
Vu169,Landrace,3,-30.559482,22.937506
Vu171,Landrace,3,-30.559482,22.937506
Vu173,Landrace,3,-30.559482,22.937506
Vu177,Landrace,3,-30.559482,22.937506
Vu178,Landrace,3,-30.559482,22.937506
Vu181,Landrace,3,-30.559482,22.937506
Vu182,Landrace,3,-30.559482,22.937506
Vu183,Landrace,3,-30.559482,22.937506
Vu184,Landrace,3,-30.559482,22.937506
Vu185,Landrace,3,-7.1333,39.166698
Vu186,Landrace,3,-6.7667,37.083302
Vu187,Landrace,3,-3.3333,37.5
Vu189,Landrace,3,-3.55,33.400002
Vu190,Landrace,3,-2.75,32.799999
Vu191,Landrace,3,-6.6,37.166698
Vu192,Landrace,3,-2.6667,32.666698
Vu193,Landrace,3,-5.1833,38.799999
Vu194,Landrace,3,-4.6833,38.116699
Vu195,Landrace,3,-3.3333,37.549999
Vu196,Landrace,3,-2.9833,32.049999
Vu197,Landrace,3,-8.85,34.049999
Vu199,Landrace,3,-6.2,37.166698
Vu200,Landrace,3,-4.0833,37.733299
Vu201,Landrace,3,-8.85,34.833302
Vu203,Landrace,3,-9.3333,34.766701
Vu205,Landrace,3,-16.483299,31.049999
Vu206,Landrace,3,-17.383301,32.283298
Vu208,Landrace,3,-17.633301,29.7167
Vu209,Landrace,3,-17.5,29.450001
Vu210,Landrace,3,-17.116699,29.0833
Vu211,Landrace,3,-17.633301,29.016701
Vu212,Landrace,3,-18.1833,28.8167
Vu213,Landrace,3,-18.7833,30.883301
Vu214,Landrace,3,-20.4333,28.6833
Vu234,Landrace,3,-23.32515225,35.3700543
Vu235,Landrace,3,-23.32515225,35.3700543
Vu248,Landrace,3,-19.0827783,33.6470631
Vu252,Landrace,3,-16.483299,31.049999
